,Player,Yr,Pos,Ht,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
0,"Smevog, Sarah",So,L,65.0,107,29,0.0,2,2,15,0.0,111.0,31.0,24.0,469.0,18.0,0.0,0.0,0.0,33.0,2.0
1,"Grajeda, Thaliana",Sr,MB,72.0,107,29,0.0,190,53,442,0.31,11.0,26.0,60.0,80.0,3.0,10.0,79.0,7.0,265.5,5.0
2,"Nelson, Haylee",So,MB,72.0,106,29,0.0,320,143,803,0.22,17.0,10.0,26.0,135.0,6.0,9.0,46.0,3.0,362.0,0.0
3,"Garard, Mamie",So,S,70.0,94,25,0.0,37,7,79,0.38,618.0,8.0,44.0,193.0,0.0,0.0,14.0,4.0,52.0,32.0
4,"Lousi, Latahevai",Jr,OH,72.0,92,26,0.0,224,118,595,0.178,11.0,1.0,11.0,71.0,4.0,10.0,37.0,11.0,253.5,4.0
5,"Thomison, Ryann",Jr,MB,72.0,86,26,0.0,83,21,253,0.245,5.0,0.0,2.0,19.0,1.0,8.0,50.0,9.0,116.0,1.0
6,"Lewis, Makayla",Fr,OH,72.0,71,20,0.0,134,93,358,0.115,10.0,18.0,8.0,134.0,36.0,6.0,18.0,4.0,167.0,1.0
7,"Zdroik, Kaitlynn",Sr,S,69.0,65,21,0.0,18,6,51,0.235,373.0,5.0,20.0,105.0,1.0,0.0,5.0,3.0,25.5,19.0
8,"Vido, Fernanda",Sr,OH,70.0,56,17,0.0,118,77,389,0.105,11.0,18.0,17.0,123.0,38.0,1.0,10.0,1.0,142.0,0.0
9,"Bettenay, Caitlin",Sr,OH,71.0,48,17,0.0,95,65,305,0.098,10.0,15.0,15.0,110.0,11.0,0.0,9.0,2.0,114.5,1.0
10,"Schwarz, Tabea",So,OH,72.0,42,19,0.0,66,37,198,0.146,3.0,4.0,11.0,57.0,20.0,1.0,3.0,2.0,72.5,0.0
11,"Parts, Laura",Jr,MB,74.0,29,10,0.0,43,10,98,0.337,1.0,2.0,10.0,6.0,0.0,0.0,16.0,2.0,53.0,0.0
12,"Fresenius, Drae",Fr,S,69.0,21,8,0.0,1,0,2,0.5,91.0,5.0,4.0,53.0,0.0,0.0,1.0,0.0,6.0,5.0
13,"Tuinauvai, Taumafa",Fr,OH,70.0,20,7,0.0,26,17,95,0.095,1.0,4.0,15.0,41.0,17.0,0.0,9.0,1.0,34.5,1.0
14,"Pitpit, Yazmin",Fr,MB,74.0,16,5,0.0,5,1,10,0.4,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,0.0
15,TEAM,-,-,0.0,2,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
16,Totals,-,-,0.0,107,18,0.0,1362,650,3693,0.193,1277.0,147.0,267.0,1597.0,170.0,45.0,302.0,49.0,1705.0,71.0
17,Opponent Totals,-,-,0.0,107,18,0.0,1203,501,3537,0.198,1106.0,170.0,180.0,1450.0,147.0,44.0,390.0,51.0,1612.0,18.0
